quote,author
'No great thing is created suddenly.',Epictetus
"'You have power over your mind - not outside events. Realize this, and you will find strength.'",Marcus Aurelius
'The happiness of your life depends upon the quality of your thoughts.',Marcus Aurelius
'Waste no more time arguing about what a good man should be. Be one.',Marcus Aurelius
'The best revenge is to be unlike him who performed the injury.',Marcus Aurelius
'The soul becomes dyed with the colour of its thoughts.',Marcus Aurelius
"'The object of life is not to be on the side of the majority, but to escape finding oneself in the ranks of the insane.'",Marcus Aurelius
'How much more grievous are the consequences of anger than the causes of it.',Marcus Aurelius
"'Do not act as if you were going to live ten thousand years. Death hangs over you. While you live, while it is in your power, be good.'",Marcus Aurelius
'The first rule is to keep an untroubled spirit. The second is to look things in the face and know them for what they are.',Marcus Aurelius
'Look well into thyself; there is a source of strength which will always spring up if thou wilt always look.',Marcus Aurelius
"'How much time he gains who does not look to see what his neighbour says or does or thinks, but only at what he does himself, to make it just and holy.'",Marcus Aurelius
"'Begin each day by telling yourself: Today I shall be meeting with interference, ingratitude, insolence, disloyalty, ill-will, and selfishness – all of them due to the offenders’ ignorance of what is good or evil.'",Marcus Aurelius
'You always own the option of having no opinion. There is never any need to get worked up or to trouble your soul about things you can't control. These things are not asking to be judged by you. Leave them alone.',Marcus Aurelius
'What we do now echoes in eternity.',Marcus Aurelius
'Never esteem anything as of advantage to you that will make you break your word or lose your self-respect.',Marcus Aurelius
'Your days are numbered. Use them to throw open the windows of your soul to the sun. If you do not',Marcus Aurelius
'Just that you do the right thing. The rest doesn't matter. Cold or warm. Tired or well-rested. Despised or honored.',Marcus Aurelius
"'If any man despises me, that is his problem. My only concern is not doing or saying anything deserving of contempt.'",Marcus Aurelius
"'Observe always that everything is the result of change, and get used to thinking that there is nothing Nature loves so well as to change existing forms and make new ones like them.'",Marcus Aurelius
'Nowhere can man find a quieter or more untroubled retreat than in his own soul.',Marcus Aurelius
'Be like the cliff against which the waves continually break; but it stands firm and tames the fury of the water around it.',Marcus Aurelius
"'The art of living is more like wrestling than dancing, in so far as it stands ready against the accidental and the unforeseen, and is not apt to fall.'",Marcus Aurelius
'Death smiles at us all; all we can do is smile back.',Marcus Aurelius
"'Friendship improves happiness, and abates misery, by doubling our joys, and dividing our grief.'",Cicero
"'It is not by muscle, speed, or physical dexterity that great things are achieved, but by reflection, force of character, and judgment.'",Cicero
"'It is foolish to tear one’s hair in grief, as though sorrow would be made less by baldness.'",Cicero
"'Our span of life is brief, but is long enough for us to live well and honestly.'",Cicero
'Knowledge which is divorced from justice may be called cunning rather than wisdom.',Cicero
"'Nobody can give you wiser advice than yourself: if you heed yourself, you'll never go wrong.'",Cicero
'To be content with what we possess is the greatest and most secure of riches.',Cicero
'It is the peculiar quality of a fool to perceive the faults of others and to forget his own.',Cicero
"'A mind without instruction can no more bear fruit than can a field, however fertile, without cultivation.'",Cicero
'Cultivation of the mind is as necessary as food to the body',Cicero
"'Wealth consists not in having great possessions, but in having few wants.'",Epictetus
'Don't explain your philosophy. Embody it.',Epictetus
'There is only one way to happiness and that is to cease worrying about things which are beyond the power or our will.',Epictetus
'First say to yourself what you would be; and then do what you have to do.',Epictetus
"'If you want to improve, be content to be thought foolish and stupid.'",Epictetus
'It is impossible for a man to learn what he thinks he already knows.',Epictetus
"'Circumstances don't make the man, they only reveal him to himself.'",Epictetus
'Only the educated are free.',Epictetus
'You are a little soul carrying around a corpse',Epictetus
'No man is free who is not master of himself.',Epictetus
"'The greater the difficulty, the more glory in surmounting it. Skillful pilots gain their reputation from storms and tempests.'",Epictetus
'Do not try to seem wise to others.',Epictetus
"'Know, first, who you are, and then adorn yourself accordingly.'",Epictetus
"'A ship should not ride on a single anchor, nor life on a single hope'",Epictetus
"'Preach not to others what they should eat, but eat as becomes you and be silent.'",Epictetus
"'Know you not that a good man does nothing for appearance sake, but for the sake of having done right?'",Epictetus
